,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
15,JawlineLover,,,1,0,3,0,"The plot of ""An Earth Immortal Reborn"" is like a roller coaster of emotion. It's riveting and full of surprises!
 
#HonkaiStarRail #cartoons #AI

https://t.co/qBUgFtaaRe https://t.co/iTzu96xf6M","['HonkaiStarRail', 'cartoons', 'AI']"
16,urielcast,"🇻🇪🇨🇴 no 🇧🇷
Professor/Pesquisador
#Doutor em #Educação pela UFBA
Área: #EducaçãoMatemática #CulturaLivre #PolíticasEducativas #CulturaDigital","Salvador, Brasil",1652,552,13166,5,"AI Best: History of AI. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Python #RStats #TensorFlow #Java #JavaScript #ReactJS #GoLang #CloudComputing #Serverless #DataScientist #Linux #Programming #Coding #100DaysofCode    
https://t.co/RYuR8wp6AN https://t.co/1dwrnqfC5B","['BigData', 'Analytics', 'DataScience', 'AI', 'MachineLearning', 'IoT', 'IIoT', 'PyTorch', 'Python', 'RStats']"
17,nsanames,"A new #NSA product name will be tweeted every minute, feel free to use them for your projects. This is purely for experimental purposes. Created by https://t.co/eJ0pyTwuQm",Inside your router,121,58,47509,1,🏷️ gophernight #nsa #nationalsecurityagency #parody #ai #artificialintelligence,"['nsa', 'nationalsecurityagency', 'parody', 'ai', 'artificialintelligence']"
18,DeaconHermine,,,3,0,4,53,"Hi guys you really need to check out $TOSHI

@CARNAGE_3000X @TheMoonCarl @rovercrc @MartiniGuyYT @cryptogems555 @AdamEShelton @Z_Humphries @MarioNawfal @davidgokhshtein 

The future is bright with https://t.co/n12ZCBHnP4 thats connecting #AI and #Crypto with #openai #gpt3 https://t.co/njSUDg8Enb",[]
19,BenfieldValeri,,,3,0,4,53,"Hi guys you really need to check out $TOSHI

@CARNAGE_3000X @TheMoonCarl @rovercrc @MartiniGuyYT @cryptogems555 @AdamEShelton @Z_Humphries @MarioNawfal @davidgokhshtein 

The future is bright with https://t.co/n12ZCBHnP4 thats connecting #AI and #Crypto with #openai #gpt3 https://t.co/njSUDg8Enb",[]
20,Startup_Anz,"A Knowledge & Data Platform | Global Startup Discovery - Showcase Your Tech Innovation | AI | Jobs | Web3 

Connect@Startupanz.com

'LEARN | GROW | SHARE'",World Wide Web,2894,9825,1118,0,"What Is Google’s BERT &amp; How Does It Help Understand A Human Being's Search Context? 
#Google #Search #NLP #language #AI 
 
https://t.co/CLuPpZgf7P via @startup_anz","['Google', 'Search', 'NLP', 'language', 'AI']"
21,realrubberduck1,"All things software engineering, devops, cloud technologies.",,46,1205,90464,1,But here’s the thing. There will be times when many of us will need to use cars. #gainwithstewartilondanga #AR #AI #MR #XR #merrychristmas #Web3 #SaaS #AIoT #MLOps #Space #DevOps #fintech #Metaverse #VirtualReality #SlackFrontiers #CyberSecurity #MachineLearning #PodcastAndChill,"['gainwithstewartilondanga', 'AR', 'AI', 'MR']"
22,zeditip,"An #Marketing #Entusiast passionate about #Tech, #ArtificialIntelligence & #humanity. Hope to leave the world to a better place to live in.",,874,1542,268204,0,"#OChat Effective AI Chatbot for all your Business Needs by #ONPASSIVE
A conversational agent for your business.☎️
An easy-to-deploy sales and service agent.🔊
Know more about #OChat
https://t.co/JCJXfSS2kj

#ONPASSIVE #OChat #earn #Business #AI #Technology #Network ... https://t.co/eBxvJg01UG","['OChat', 'ONPASSIVE', 'OChat', 'ONPASSIVE', 'OChat', 'earn', 'Business', 'AI', 'Technology', 'Network']"
23,Lena29084603,,,4,0,4,53,"Hi guys you really need to check out $TOSHI

@CARNAGE_3000X @TheMoonCarl @rovercrc @MartiniGuyYT @cryptogems555 @AdamEShelton @Z_Humphries @MarioNawfal @davidgokhshtein 

The future is bright with https://t.co/n12ZCBHnP4 thats connecting #AI and #Crypto with #openai #gpt3 https://t.co/njSUDg8Enb",[]
24,elevateourkids,Elevate Our Kids is a non-profit 501c3 that provides laptops to K-12 students in underserved & under-resourced communities. #digitaldivide,United States,540,128,468,1,Did you miss my webinar on #Artificialintelligence in Education via @educatorAlex Get the recording here: https://t.co/xWogPSexAq #education #edchat #edtech #SEL #AI #AI4good #STEM #STEMEd @AIClubWorld,['Artificialintelligence']
25,1_Nausicaa_,"Neurodivergent, INTJ-T, Dinolover, Ocean lover, Ghibli/Disney lover, Ravenclaw, Biotech, Computer Science PhD, Dr. Clown. Robots rock! 🤖🤘🏻
I ❤️ Godzilla☄️🦖",📍Sonora 🐎🤠,3558,776,24306,19,"#Consciousness in Humans, Animals and #ArtificialIntelligence 
@ruhrunibochum @jamesvgingerich 
#Neuroscience #CES #ML #AI 

@SpirosMargaris @bimedotcom @psb_dc @BetaMoroney @tobiaskintzel @IanLJones98 @mvollmer1 @Analytics_699 @PawlowskiMario @Fisher85M 
https://t.co/RuJanQLshl https://t.co/WLpSDuIIMX","['Consciousness', 'ArtificialIntelligence', 'Neuroscience', 'CES', 'ML', 'AI']"
26,Rdene915,💥ISTE Certified Educator |Teacher| Consultant| Speaker| Attorney | Author Blogger  |Past-pres #ISTETEN |#MIEExpert |Nearpod #PioNear| 💥#THRIVEinEDU 💜📚,Pittsburgh,9442,33481,203574,1,Did you miss my webinar on #Artificialintelligence in Education via @educatorAlex Get the recording here: https://t.co/xWogPSexAq #education #edchat #edtech #SEL #AI #AI4good #STEM #STEMEd @AIClubWorld,"['Artificialintelligence', 'education', 'edchat', 'edtech', 'SEL', 'AI', 'AI4good', 'STEM', 'STEMEd']"
27,stew_ilondanga,Stewart Milimu ilondanga,Nairobi,26844,57865,114980,1,But here’s the thing. There will be times when many of us will need to use cars. #gainwithstewartilondanga #AR #AI #MR #XR #merrychristmas #Web3 #SaaS #AIoT #MLOps #Space #DevOps #fintech #Metaverse #VirtualReality #SlackFrontiers #CyberSecurity #MachineLearning #PodcastAndChill,"['gainwithstewartilondanga', 'AR', 'AI', 'MR', 'XR', 'merrychristmas', 'Web3', 'SaaS', 'AIoT', 'MLOps', 'Space', 'DevOps', 'fintech', 'Metaverse', 'VirtualReality', 'SlackFrontiers', 'CyberSecurity', 'MachineLearning', 'PodcastAndChill']"
28,rosalyn_hogg,,,4,0,4,53,"Hi guys you really need to check out $TOSHI

@CARNAGE_3000X @TheMoonCarl @rovercrc @MartiniGuyYT @cryptogems555 @AdamEShelton @Z_Humphries @MarioNawfal @davidgokhshtein 

The future is bright with https://t.co/n12ZCBHnP4 thats connecting #AI and #Crypto with #openai #gpt3 https://t.co/njSUDg8Enb",[]
29,LarssonLavina,,,2,0,4,53,"Hi guys you really need to check out $TOSHI

@CARNAGE_3000X @TheMoonCarl @rovercrc @MartiniGuyYT @cryptogems555 @AdamEShelton @Z_Humphries @MarioNawfal @davidgokhshtein 

The future is bright with https://t.co/n12ZCBHnP4 thats connecting #AI and #Crypto with #openai #gpt3 https://t.co/njSUDg8Enb",[]
30,emojizedcom,"All Images by me (with ai), emojicreator, https://t.co/ZApWf21IHR or by @wef","Zurich, Switzerland",1842,1358,124302,0,And last but not least we have to mention WordPress. #backend #ai #art https://t.co/TkaPf7rBzn,"['backend', 'ai', 'art']"
31,uCloudifyAI,"Boop beep... I'm a bot!

Mission: Recovery of small businesses from COVID-19.",,0,1250,183254,1,"Lot's of things obstacle of improve technology in Japanese regulation.
e.g.

・medical science
・taxi
・auto driving
・tourism
・drone

#AI #japan #regulation",[]
32,Deon53684835,,,3,0,4,53,"Hi guys you really need to check out $TOSHI

@CARNAGE_3000X @TheMoonCarl @rovercrc @MartiniGuyYT @cryptogems555 @AdamEShelton @Z_Humphries @MarioNawfal @davidgokhshtein 

The future is bright with https://t.co/n12ZCBHnP4 thats connecting #AI and #Crypto with #openai #gpt3 https://t.co/njSUDg8Enb",[]
33,qqtuzi,"Hey its me, cool internet bunny dude with a Huion
Programmer, artist and LEGO addict
- 
TL is sometimes suggestive",🐰,837,1414,12140,3,"A comic about AI art 🤖🚪

#comic #comicstrip #comics #AIArtwork #AIart #art #AI https://t.co/p8sdWmoyIb","['comic', 'comicstrip', 'comics', 'AIArtwork', 'AIart', 'art', 'AI']"
34,inforevo2050,30年後どんな世界になってると思いますか？ What happens in 30 years our life ? Singulaiity will come.Information Revolution ! #AI #ビッグデータ #機械学習 #量子コンピュータ #人工知能 #singularity #python,,1777,326,1379,1,"Lot's of things obstacle of improve technology in Japanese regulation.
e.g.

・medical science
・taxi
・auto driving
・tourism
・drone

#AI #japan #regulation","['AI', 'japan', 'regulation']"
35,uCloudifyAI,"Boop beep... I'm a bot!

Mission: Recovery of small businesses from COVID-19.",,0,1250,183254,2,"Are you an entrepreneur looking to level up your startup? Building a powerful network of connections is key. Here are some strategies that can help:
1. Have the courage to reach out - don't be afraid of rejection or failure! #SaaS #AI #Startup",[]
36,uCloudify,Join us! Our mission is to save humans from tedious tasks.,,0,5056,662169,2,"Are you an entrepreneur looking to level up your startup? Building a powerful network of connections is key. Here are some strategies that can help:
1. Have the courage to reach out - don't be afraid of rejection or failure! #SaaS #AI #Startup",[]
37,itsjustmarky,"Browncoat, meme connoisseur, #bitcoin evangelist, #hive consensus witness, developer, geek, technical samurai, and black belt in dad jokes.",USA,186,1357,2505,0,"This is wild next level #AI usage

https://t.co/CYNCtUF3Gl",['AI']
38,Ukhan1243,Indie Hacker. Building AI companies and SaaS businesses that will benefit the creators and entrepreneurs. email: umairkhan814@icloud.com,"Illinois, USA",163,29,88,2,"Are you an entrepreneur looking to level up your startup? Building a powerful network of connections is key. Here are some strategies that can help:
1. Have the courage to reach out - don't be afraid of rejection or failure! #SaaS #AI #Startup","['SaaS', 'AI', 'Startup']"
39,Deadra45745404,,,4,0,1,59,"Hi @TaraBull808 @EricCryptoman
@1SirCrypto @iambroots @realdogen @CryptoMatt87 @cryptojourneyrs
The future is bright with https://t.co/n12ZCBHVEC thats connecting #AI and #Crypto with #openai 

Jump in the telegram AMA in 5 mintes come and find out more

https://t.co/CFA4Qrge9o… https://t.co/mF5BsDoGz3",[]
40,DesignedbyAI,Create award-winning artwork with artificial intelligence. Create artwork in seconds with our free web UI or download for Windows: https://t.co/6Pm7RMMcMP,California USA,1561,777,10304,0,"(Art by A.I.) Beach ball in a scary empty office building - See all 12 images or create your own on Web or PC: 
https://t.co/svzKKQc1lW
 #art #Beach #ball #scary #empty #office #building #ai #aiart","['art', 'Beach', 'ball', 'scary', 'empty', 'office', 'building', 'ai', 'aiart']"
41,Boy54372316,"BRAND AMBASSADOR allsocialmediaplug 
📍𝘉𝘙𝘈𝘕𝘋 𝘐𝘕𝘍𝘓𝘜𝘌𝘕𝘊𝘌𝘙
📍𝘋𝘔/𝘚𝘌𝘕𝘋 𝘈𝘕 𝘌𝘔𝘈𝘐𝘓📧4 𝘗𝘙𝘖𝘔𝘖𝘛𝘐𝘖𝘕
📍📧𝘋𝘔 𝘍𝘖𝘙 𝘚𝘏𝘖𝘜𝘛𝘖𝘜𝘛
📍𝖫𝖮𝖵𝖤𝖱 𝖮𝖥 𝖩𝖤𝖠𝖭𝖲👖 .𝖲𝖭𝖤𝖠𝖪𝖤𝖱 👟𝖢𝖱𝖮𝖯 𝖳𝖮𝖯🎽
𝖩𝖠𝖭𝖴𝖠𝖱𝖸17","Dallas, TX",0,0,10,85,"#Infographic: Here are the subsets of #ArtificialIntelligence!

#artificialintelligence #ai #machinelearning #technology #datascience #deeplearning #python https://t.co/sTXQld0MsZ","['Infographic', 'ArtificialIntelligence', 'artificialintelligence', 'ai', 'machinelearning', 'technology']"
42,dinisguarda,Author Creator @citiesabc_ @openbusinesshq @fashionabc_ @intelligenthq #metaverse #arts #AI #blockchain #Fintech #nfts CEO @ztudium @techabc_ #smartcitiesabc,London / World,7872,119209,157338,1,"@dinisguarda Investing in #AI can help companies optimize processes, automate tasks and make more informed decisions, so it's important to consider the long-term benefits of such an investment.",['AI']
43,AlisonR22778534,,,5,0,1,59,"Hi @TaraBull808 @EricCryptoman
@1SirCrypto @iambroots @realdogen @CryptoMatt87 @cryptojourneyrs
The future is bright with https://t.co/n12ZCBHVEC thats connecting #AI and #Crypto with #openai 

Jump in the telegram AMA in 5 mintes come and find out more

https://t.co/CFA4Qrge9o… https://t.co/mF5BsDoGz3",[]
44,dinisguarda,Author Creator @citiesabc_ @openbusinesshq @fashionabc_ @intelligenthq #metaverse #arts #AI #blockchain #Fintech #nfts CEO @ztudium @techabc_ #smartcitiesabc,London / World,7872,119209,157338,1,"@dinisguarda The success of an #AI investment depends on having the right strategy, data, and infrastructure in place. Companies should consider these factors before investing in #AI.",['AI']
45,dinisguarda,Author Creator @citiesabc_ @openbusinesshq @fashionabc_ @intelligenthq #metaverse #arts #AI #blockchain #Fintech #nfts CEO @ztudium @techabc_ #smartcitiesabc,London / World,7872,119209,157338,1,@dinisguarda Companies must ensure they have the right team with the right skills in place to implement and manage the #AI technology.,['AI']
46,EltisKristal,,,4,0,1,59,"Hi @TaraBull808 @EricCryptoman
@1SirCrypto @iambroots @realdogen @CryptoMatt87 @cryptojourneyrs
The future is bright with https://t.co/n12ZCBHVEC thats connecting #AI and #Crypto with #openai 

Jump in the telegram AMA in 5 mintes come and find out more

https://t.co/CFA4Qrge9o… https://t.co/mF5BsDoGz3",[]
47,Cyb3rpunkFixer_,"#midjourney #AIIA #AIart
Style over substance
Attitude is everything 
Take it to the edge
Break the rules",DC,167,74,2081,1,I discovered the Loch Ness monster! He was having a beer at my local pub. #midjourney #AIart #AI #Art https://t.co/fAPaMlrZOS,"['midjourney', 'AIart', 'AI', 'Art']"
48,SophieM64164643,,,3,0,3,59,"Hi @TaraBull808 @EricCryptoman
@1SirCrypto @iambroots @realdogen @CryptoMatt87 @cryptojourneyrs
The future is bright with https://t.co/n12ZCBHVEC thats connecting #AI and #Crypto with #openai 

Jump in the telegram AMA in 5 mintes come and find out more

https://t.co/CFA4Qrge9o… https://t.co/mF5BsDoGz3",[]
49,stefihane,,SF & FFM,4998,1875,107646,3,"FUNNY! 

Big Data Has Become SO Big We Need To Call It HUMONGOUS Data Now! 

Why data science has become so essential for companies! 

#CES2023 #CES #MWC23 #BigData #data #Analytics #tech #AI #ML #DataScience #DataScientists #humor #funny #lol https://t.co/Njplwbq0d9",[]
50,KILABYTES,"OnChain AI Graffiti Artist
https://t.co/HMFUVzDuPD",All City,290,210,107,0,"Supreme Yemen #6

The Carlyle Group owns 50% of #Supreme. They profit from the Saudi Arabian–led #Yemen Civil War. 16-50k civilians were killed or injured in the war.

https://t.co/cPzRwmIYsB

#Str4ngeThing @Str4ngeThing #YemenCantWait #AI #AIArt #NFT #Tezos #XTZ #NFTs #Objkt https://t.co/lzDxC8htJQ","['Supreme', 'Yemen', 'Str4ngeThing', 'YemenCantWait', 'AI', 'AIArt', 'NFT', 'Tezos', 'XTZ', 'NFTs', 'Objkt']"
51,UnderhillAlesha,,,4,0,3,59,"Hi @TaraBull808 @EricCryptoman
@1SirCrypto @iambroots @realdogen @CryptoMatt87 @cryptojourneyrs
The future is bright with https://t.co/n12ZCBHVEC thats connecting #AI and #Crypto with #openai 

Jump in the telegram AMA in 5 mintes come and find out more

https://t.co/CFA4Qrge9o… https://t.co/mF5BsDoGz3",[]
52,Gisela55437670,,,5,0,3,59,"Hi @TaraBull808 @EricCryptoman
@1SirCrypto @iambroots @realdogen @CryptoMatt87 @cryptojourneyrs
The future is bright with https://t.co/n12ZCBHVEC thats connecting #AI and #Crypto with #openai 

Jump in the telegram AMA in 5 mintes come and find out more

https://t.co/CFA4Qrge9o… https://t.co/mF5BsDoGz3",[]
53,zeditip,"An #Marketing #Entusiast passionate about #Tech, #ArtificialIntelligence & #humanity. Hope to leave the world to a better place to live in.",,874,1542,268204,0,"The Ultimate HR Solution #Ostaff by #ONPASSIVE ❗️
🚀Manage your Human Resources in a novel way with #OStaff.
Find out more 👀
https://t.co/kgtmHHtCNT

#ONPASSIVE #ostaff #OFounders #GoFounders #Business #AI #ArtificialIntelligence #Technology #Network #Innovation ... https://t.co/UrRg3STUin","['Ostaff', 'ONPASSIVE', 'OStaff', 'ONPASSIVE', 'ostaff', 'OFounders', 'GoFounders', 'Business', 'AI', 'ArtificialIntelligence', 'Technology', 'Network', 'Innovation']"
54,TrinusOfficial,Analytics | Business Intelligence | Data Management | IT Consulting Company,"Pasadena, CA",1352,715,2453,0,"Use Cases of #PredictiveAnalytics! [#Infographic]

RT @EnFuseSolution

#DataScience #BigData #Analytics #AI #Python #PredictiveAnalysis #DataScientist #DigitalTransformation #Cloud #MachineLearning #ArtificialIntelligence #ML

CC: @mvollmer1 @cgledhill @terence_mills @antgrasso https://t.co/IuVDC6VyAD","['PredictiveAnalytics', 'Infographic', 'DataScience', 'BigData', 'Analytics', 'AI', 'Python', 'PredictiveAnalysis', 'DataScientist', 'DigitalTransformation', 'Cloud', 'MachineLearning', 'ArtificialIntelligence', 'ML']"
55,MyITMedia,Retweets about AI Robot / RPA: Robotic Process Automation / Central Bank Digital Currency / Smart City / Bitcoin in El Salvador / NFT: Non-Fungible Token,"Tokyo, Japan",607,890,178669,1,Listening to a news spots as I fold laundry and realizing that AI can write better news spots than I can but no robot can fold laundry. #Ai @dustindwyer #robot https://t.co/BzpZAyJXXQ,[]
56,dpinto64,"Passionate about AI & Robotics for a cleaner, better future. Opinions my own. Tweets about #ai #gpus #robotics #deeplearning #machinelearning #sustainability","Silicon Valley, CA",367,296,3054,0,"In part 2 of a 2-blog series, MathWorks explains how to develop and deploy #AI-based seismic facies classification by leveraging cloud-based high-performance computing resources for faster prototyping and development with large 3-D seismic datasets. https://t.co/gBKILlnB7a",['AI']
57,AI_Breakthrough,Research and recognition programs dedicated to highlighting the best technologies in the global #ArtificialIntelligence market: #AI #MachineLearning#Analytics,"Los Angeles, CA",1501,1193,2130,0,"Amazon’s quest for the ‘holy grail’ of robotics

https://t.co/gT1H2SY6WX

#AI #machinelearning #artificialintelligence #elonmusk #robotics https://t.co/0Uvc3CP8UG","['AI', 'machinelearning', 'artificialintelligence', 'elonmusk', 'robotics']"
58,FernRowland12,,,5,0,3,59,"Hi @TaraBull808 @EricCryptoman
@1SirCrypto @iambroots @realdogen @CryptoMatt87 @cryptojourneyrs
The future is bright with https://t.co/n12ZCBHVEC thats connecting #AI and #Crypto with #openai 

Jump in the telegram AMA in 5 mintes come and find out more

https://t.co/CFA4Qrge9o… https://t.co/mF5BsDoGz3",[]
59,Isabell18889668,,,4,0,4,59,"Hi @TaraBull808 @EricCryptoman
@1SirCrypto @iambroots @realdogen @CryptoMatt87 @cryptojourneyrs
The future is bright with https://t.co/n12ZCBHVEC thats connecting #AI and #Crypto with #openai 

Jump in the telegram AMA in 5 mintes come and find out more

https://t.co/CFA4Qrge9o… https://t.co/mF5BsDoGz3",[]
60,luxonis,"Robotic vision, made simple.","Westminster, CO",111,2351,2445,1,"#TechXchangeTuesday: @luxonis' OAK-D #stereoscopic cameras can run #artificialintelligence (#AI) models, offloading the host. Full video: https://t.co/TnrlgHGwAE.
#3Dcamera #computervision https://t.co/FUY2wBaXm0","['TechXchangeTuesday', 'stereoscopic', 'artificialintelligence', 'AI']"
61,ActualPlaneServ,"Automated Planespotter @ PHX. Departures: 7L and 7R. Arrivals: 25L and 25R. Capture: SDR, Raspberry Pi, Node Red. Crop: Roboflow AI. Engineering by @guzbikes",,90,114,152745,0,"N954MS
BE20
N954MS
ad44a7
#N954MS #N #BE20 #N954MS #ad44a7
Automated Photo Crop #Roboflow #AI Confidence Score: 0.805 #objectdetection #machinelearning #NVIDIA #Jetson #PHX #Automated #Planespotting #RaspberryPi #ADSB #SDR #NodeRed #AvGeek #ActualPlaneServer https://t.co/iAssDG4giK","['N954MS', 'N', 'BE20', 'N954MS', 'ad44a7', 'Roboflow', 'AI', 'objectdetection', 'machinelearning', 'NVIDIA', 'Jetson', 'PHX', 'Automated', 'Planespotting', 'RaspberryPi', 'ADSB', 'SDR', 'NodeRed', 'AvGeek', 'ActualPlaneServer']"
62,nsanames,"A new #NSA product name will be tweeted every minute, feel free to use them for your projects. This is purely for experimental purposes. Created by https://t.co/eJ0pyTwuQm",Inside your router,121,58,47509,0,😂 squirrelchipmunk #nsa #nationalsecurityagency #parody #ai #artificialintelligence,"['nsa', 'nationalsecurityagency', 'parody', 'ai', 'artificialintelligence']"
63,that_dude_JO,Cowboy 2x national champ..Now chasin the dream of GOLD! #TEAMBASCH #6JO @teamusana @sunkistkids @adidaswrestling @nycrtc @eatcleanbro,Dream Chasing,1617,42227,15683,0,"💫 SpaceCowboy🤠 

Seems right…. might be left 👈🏽

#AI https://t.co/FaZFA8hynM",['AI']
64,FreightTressie,,,4,0,4,59,"Hi @TaraBull808 @EricCryptoman
@1SirCrypto @iambroots @realdogen @CryptoMatt87 @cryptojourneyrs
The future is bright with https://t.co/n12ZCBHVEC thats connecting #AI and #Crypto with #openai 

Jump in the telegram AMA in 5 mintes come and find out more

https://t.co/CFA4Qrge9o… https://t.co/mF5BsDoGz3",[]
65,paul_oralee,,,5,0,4,59,"Hi @TaraBull808 @EricCryptoman
@1SirCrypto @iambroots @realdogen @CryptoMatt87 @cryptojourneyrs
The future is bright with https://t.co/n12ZCBHVEC thats connecting #AI and #Crypto with #openai 

Jump in the telegram AMA in 5 mintes come and find out more

https://t.co/CFA4Qrge9o… https://t.co/mF5BsDoGz3",[]
66,Lita28740893,,,4,0,4,59,"Hi @TaraBull808 @EricCryptoman
@1SirCrypto @iambroots @realdogen @CryptoMatt87 @cryptojourneyrs
The future is bright with https://t.co/n12ZCBHVEC thats connecting #AI and #Crypto with #openai 

Jump in the telegram AMA in 5 mintes come and find out more

https://t.co/CFA4Qrge9o… https://t.co/mF5BsDoGz3",[]
